Nombre Establecimiento,Dirección establecimiento,Teléfono 1,Teléfono 2,Actividad,Tipo de negocio,servicio Domicilio,Correo Electrónico,Número de empleados,¿Está registrado ante DIAN?,¿Está registrado ante Cámara de Comercio?,Su establecimiento se desarrolla en un domicilio:,El Canon de Arrendamiento es (COP):,Número de años en el Mercado,¿Tienen registro contable?,"Dando cumplimiento a la ley 1581/12, autorizo de manera voluntaria al Municipio de Cota el uso de mis datos personales, con estricta sujeción a estas normas y exclusivamente para temas relacionados con programas Institucionales.",¿Está afiliado a FENALCO?,De acuerdo a su actividad. ¿Usted se identifica en qué grupo?
Floreria de Paoh,Cl 1 entrada de los postes,3192038371,3197478588,"Producción y comercializacion de plantas ornamentales, aromaticas, cactus y suculentas",No Responde,SI,Jpplantas@gmail.com,1 a 5,Sí,No,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Emprendedor
Flores y globos,Vereda Cetime,3103026144,0,Otro,Decoración flores y globos,NO,edyagobe@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Floristería Jardines de Manjuy,transversal 5#5-35,3134874541,8640360,Otro,Floristería,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Floristería Jardines del Majuy,Transversal 5# 5-35,3223140432,0,Floristería,No Responde,SI,Katherine88_6@hotmail.com,1 a 5,No,Sí,Arrendado,No responde,15,No responde,Acepto,No,Comerciante
Fonda las bendecidas,Carrera 5# 8-14,3229510843,3224402013,Otro,Fonda bar,NO,Yotorres777@yahoo.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
foto@leja.net,cra 4 # 13 - 16,3204427878,3228194334,FOTOGRAFIA,No Responde,SI,fotoaleja.net_0219@hotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,7,No,Acepto,No,Comerciante
Fotocopias e impresiones,CR 2 No 8 75,3168256522,0,Otro,"Fotocopias, impresiones y scanner",NO,paolacalderon18@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Friddablusas,Calle 13 #2b 30,3118044986,3193689167,Otro,Venta de ropa y accesorios,SI,Friddablusas@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Fructoxa,Calle 13 # 3-38,3219683294,0,Otro,Fruteria pulpas sanduches jugos y batidos,SI,Fructoxa@outlook.es,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Frutería la exclusiva,Cara 5 #12-78,3194575266,3203670034,"Desayunos, frutería, cafetería, panadería  y domicilios",No Responde,SI,leidyalejandraramirezcatro@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,3007152318,Sí,Acepto,Sí,Comerciante
Frutería y cafetería tío rico de cota,Carrera 5 No. 11-18,3213996343,8965291,Venta de todo lo relacionado a fruteria y cafetería,No Responde,SI,donepabe@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,6,Sí,No acepto,No,Comerciante
Frutos del campo,Parcela 67,3174236485,0,Otro,Fabrica de yogures,SI,informacion.frutos@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Fruver Dilan,Cra 3 # 12-83,3102745733,0,Venta de frutas y verduras,No Responde,SI,victorsastoque2@gmail.com,1 a 5,Sí,No,Arrendado,Entre 1.000.000 y 3.000.000,1,Sí,Acepto,Sí,Comerciante
Fruver el libertador,Calle.14#6-39,3202159341,3228843482,Otro,Fruver,SI,Hector.v10@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
FuegOrigen; Lo Asemos Juntos!!!!,Carrera 9 No. 17-96 Int 5,3003626216,3154158168,Otro,"Elaboración Artesanal de Productos Alimenticios -Pan, Arepas, Amasijos, Dips, Salsas y Asados-.",SI,fuegorigen@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Gabriel H. Robayo M.,Cra 2 No 12-09,3144188555,8777045,Otro,"Ingenieria Civil ,Diseño,cálculo y construccion",SI,gringenieria3@yahoo.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Galería Indonesia,Conjunto Hacienda Terracota Unidad 32 Local 3,3202439329,8640563,Otro,Venta de muebles y artesanias,SI,kartasura1@yahoo.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Gary Sushi Delivery,Cll 11 #2A 52,3042345333,0,Restaurante,No Responde,SI,Garysushidelivery@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Gas natural esencial cota,Cr 5 # 10-66,3209888000,3133831193,Otro,GAS NATURAL SERVICIO TÉCNICO,SI,gasnaturalesencial@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Gb asesores empresariales,Cra 3 a # 11-32,3124700422,8965674,Otro,"Servicios de asesoría empresarial, contable y tributaria",SI,Gbernalpreciado@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
GEARCOMMS SAS,Autopista medellin km 1.8 pq soko bodega a piso 3,8766255,31970319769,ALQUILER SEGMENTO SATELITA Y VENTA DE EQUIPOS DE TELECOMUNICACION,No Responde,SI,administracion@gearcomms.com,6 a 10,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,9,Sí,Acepto,No,Empresario
Georges pizza,Cra5#14-32,3204912380,3214404688,Restaurante,No Responde,SI,karendayana2501@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
GIMNASIO EL SHADDAI,KM1 VIA COTA SIBERIA,3142594589,0,Educacion,No Responde,NO,gimnasioelshaddai@gmail.com rectoria@gimnasioshaddai.edu.co,11 a 20,Sí,Sí,Arrendado,Mayor a 5.000.000,7,Sí,Acepto,No responde,Micro empresario
Giro Arquitectura,Calle 11 No 1-51,3197322666,3118021434,Giro Arquitectura,No Responde,NO,rozogiomara@gmail.com,1 a 5,No,No,Propio,No responde,20,No,Acepto,No,Emprendedor
"Globos S,A",Calle 11 #3-35 local 102 av suba,3204640240,3228338004,Fabricación de alimentos,No Responde,SI,palencia112@hotmail.com,6 a 10,No,No,Arrendado,Entre 1.000.000 y 3.000.000,6,No,Acepto,No,Emprendedor
Go Market,Carrera 7 # 8-11,8766245,0,Tienda,No Responde,NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
GR INGENIERIA SAS,Carrera 2 #12 - 09,3103238765,3144188555,Arquitectura e ingeniería y otras actividades conexas de consultoría técnica,No Responde,SI,Comercial@gringenieriasas.com,6 a 10,Sí,Sí,Propio,No responde,27,Sí,Acepto,No,Micro empresario
Gralyspa sas,Calle 13 # 3A10 centro cota,3137882598,3046350227,Otro,Peluqueria,NO,Negronavilagraciela@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Grupo empresarial revivir sas,Cra 3a # 11-89,3102393069,3155181457,Otro,"Seguros generales, exequiales y prestadores de servicios funerarios.",SI,Edisonmoren012@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
H velez peluquería,Calle 14# 4-42 local 2,3112452583,3112452583,Presto servicio de belleza,No Responde,NO,edelmivelez14@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,7,No,Acepto,No,Comerciante
Hago arreglos de ropa y vendo tapabocas,Vereda el abra sector cañón,3224139239,3214869703,Otro,Venta de tapabocas,SI,flor 0802@hotmail.es,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Heladería Timmy,Cra 5 #7-80 local 101,8773604,3106195927,"Restaurante, Heladería, salón de eventos",No Responde,SI,Heladeriatimmy@gmail.com,6 a 10,Sí,Sí,Arrendado,Mayor a 5.000.000,5,Sí,Acepto,No,Micro empresario
Helado para Perritos,Domicilios,3134025010,3144430120,Otro,Mascotas,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Help and Health SAS,Tv 4 No 12 -09,3005277272,0,Examenes Medicos Ocupacionales,No Responde,SI,helpandhealth.co@gmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,4,Sí,Acepto,No,Micro empresario
Higashihana,Carrera 5 n 14 - 63,3114835384,8776341,Restaurante,No Responde,SI,Teppanyakicota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Home Design Boutique,Parcelas 44,3219128733,3112696465,Otro,"Fabricacion de muebles hogar y oficina, tapicería, cocinas integrales, casa de campo, mobiliario de oficina, camas, comedores, escritorio",SI,homedesignboutique1@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Hortalizas González,Carrera 2 calle 2,3102260006,311803058,Comercio hirtaliza,No Responde,NO,Anjy2731@hotmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,9,No,Acepto,No,Comerciante
Hospital Veterinario Mascotas,Cra 5 #8-10,3102871352,8640072,Otro,Clínica Veterinaria,SI,Hospitalveterinariomascotas@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Housing ingenieros Sas,Cra 5 # 7-80 lc 117,8965954,3183383842,Otro,"Obras de ingenieria civil, fabricación de estructuras metalmecanicas, diseños, interventorias, consultorias.",NO,Admon.housing@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Huevos San Isidro,Calle 8 # 7 99 int 2 casa 2,3175865697,8767054,Otro,Huevos organicos,SI,marthap73@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Impakto.Tienda de moda,Calle 13 n 3a 47 cota,3157242990,3138493301,Otro,Ropa y accesorios,SI,Salidiamandatr@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
indicó sas,Terminal de carga bodega 51,3108173355,3182574074,Otro,Impresoras de códigos de barras etiquetas,SI,Comercial@indico.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
INDUSTRIAS METÁLICAS LÓPEZ,Kmt. 1.5 Via Cota a Chia (Cota Cundinamarca),3153191961,3219525390,Otro,Dobladora y Cortadora,SI,industriasmetalicaslopez@outlook.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
INDUSTRIAS QUIMICAS IMPERMEABILIZANTES HERNANBAR SAS,Km 1.5 via Siberia Costado Sur,3002660559,3002309748,Otro,Fabricamos e instalamos Impermeabilizantes para las Construcciones,SI,servicliente@hernanbar.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Infinity,Calle 13A # 3-87,3506664828,31923377296,Tienda,No Responde,SI,rochysandovarte@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Ingeobra Civil JM,Calle 11 #9 -18,3183608020,3125920192,Otro,Construcción Obra Civil - Interventoría,NO,gerencia.ingeobraciviljm@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
INMOBILIARIA NEW HOUSE SAS,Carrera 2 No. 14 A - 51,8767957,3112713400,Otro,Negocios Inmobiliarios,NO,inmobiliarianewhouse@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Innova integral sas,Vereda parcelas parcela 5 globo 2 unidad 6,3115866102,3205773468,Construcción y mantenimientos,No Responde,SI,Proyectos@innovaintegral.co,6 a 10,Sí,Sí,Propio,No responde,5,Sí,Acepto,No,Micro empresario
Interrapidisimo,Calle 13#3A-32,8766177,3192925749,Tienda,No Responde,NO,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Inversiones Fenissa,Variante Cota Chia km 1.5 conjunto Palo de Agua Baru 13,3015157948,6809128,Fabricación ropa textil hogar,No Responde,SI,administrativo@fenissa.com,11 a 20,Sí,Sí,Propio,No responde,13,Sí,Acepto,No,Empresario
Invest-House SAS,Calle 17 # 9 96,3046341041,0,Otro,inmobiliario,NO,gerencia@invest-house.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
io Posso Ristorante,Calle 14 # 2b-72,3132047180,8965515,Restaurante,No Responde,SI,Gpossop@hotmail.com,1 a 5,Sí,Sí,Propio,No responde,7,Sí,Acepto,No,Emprendedor
Jardines de nico,Cra 5. N  1 - 40,3108763967,3227301953,Mantenimiento de jardines,No Responde,SI,Romulojacobo348@gmail.com,1 a 5,Sí,Sí,Propio,No responde,5,No,Acepto,No,Micro empresario
Jn electronica,Calle 13 #3-41,3223160469,0,Otro,"Venta y reparacion de sistemas de computo (accesorios,computadores,tableth) )",SI,Jlcr.0520@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
JONIK'S BURGER,CRA3# 12-83,3015180002,3196601201,Venta de comidas rápidas a domicilio,No Responde,SI,Joniksburguer2020@gmail.com,1 a 5,No,No,Propio,No responde,0,No,Acepto,No,Emprendedor
Juancho,Calle 5# 12/03,3182346578,0,Seguros,No Responde,NO,Juancho@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,2,No,No acepto,No,Emprendedor
K-NAPKA,Cra 5 # 6 - 07,3208426880,0,Venta de sándwich - Quesos y Jamones.,No Responde,SI,knapka-0402@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,11,No,Acepto,No,Comerciante
Kalazakim,Calle 13 #2b-60,3124351448,3002720851,Otro,Papelería,NO,Papeleriakalazakim@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Kamisazon,Carrera 3#12-64,3209246583,3229482815,Comidas preparadas,No Responde,SI,Ivantauta@jotmail.com,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,2,No,Acepto,Sí,Comerciante
Kaoba Fashion Cota,cll 13 N 4-50,3182629021,3175928343,venta de ropa y calzado,No Responde,SI,emmaliz13@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,Sí,Acepto,No,Comerciante
Kaori domicilios,Vereda Pueblo viejo,3213108484,3107572819,Restaurante,No Responde,SI,Kaori.eventos@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Kendal comunicaciones,Cra 5 11 38,8787582,3133023847,Otro,Cabinas telefonicas,NO,Produccioneskendal.comunicaciones17@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Kendal papeleria,Cra 5 No 11-45,8985562,3133023847,Otro,Papeleria,NO,Kendal.comunicaciones17@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Kharina Peluquería,Cll 11#5-12,3168571522,3168571522,Otro,Peluquería,SI,emontenegro279@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
KOAJ BASIC COTA,CARRERA 5 #11-19,3227337068,0,COMERCIO AL POR MENOR DE PRENDAS DE VESTIR,No Responde,SI,sgsst.expe@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,1,Sí,Acepto,No,Comerciante
Kokoyè Aceite de coco,Km.2 variante cota siberia,3107511553,0,Ventas  productos orgánicos,No Responde,SI,nenamartinezj@hotmail.com,1 a 5,No,No,Propio,No responde,5,Sí,Acepto,No,Emprendedor
KOPABAR,CR11#4-81,3228587053,3105651576,Otro,BAR Y EXPENDIDO DE BEBIDAS ALCOHOLICAS,NO,iicoonplus@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Kumon Unidad Cota,Cra 3 # 9 -27,3102867455,0,Otros tipos de educación,No Responde,SI,paola.riano@unidadkumon.com,1 a 5,Sí,Sí,Propio,No responde,5,Sí,Acepto,No,Micro empresario
LA BARRA,Cr. 7 N. 10-97,3228057942,3228057942,"Servicio al cliente, Cafe , bar",No Responde,SI,davidcastilloaguilar53@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,2,Sí,Acepto,No,Comerciante
La Bodega 24h,Crr5 #14-39,3175328619,3185903821,Otro,Mensajeria,SI,Wilfredys29@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Cabaña de Chomo,Carr 2 #10-12 int 5,3115803242,3128434315,Restaurante,No Responde,SI,rafaelvalerosegurs@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La casa buffet,Vereda centime camello de las flores,3007300658,3112346181,Restaurante,No Responde,SI,henryquintero33@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La casa de la Pastelería avenida el libertador,Cll 14 532 avenida el Libertador,3103094801,3115572380,Panadería,No Responde,SI,La casa de la Pastelería @gemel.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Cava 24-7 ( The Cave ),Prestamos el servicio de licores y snacks a domicilio,3112447337,3226040436,Otro,"Somos una empresa que inicia como licores y snacks a domicilio, ahora llevamos absolutamente todos los productos y servicios de los diferentes establecimientos del municipio a la puerta de tu casa u oficina.",SI,Lacava247thecave@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Chispa del Fogón,Cra. 5 # 11-24,8640516,3123799988,Restaurante,No Responde,SI,leonardocorredor68@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Clinica de sus prendas,Carrera 6 #13-66,3208502856,3214349079,Otro,Modisteria,SI,Miguelavila081@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
la colonia,calle 11 # 4- 81,3132179947,0,Otro,bar,SI,ajuliangg@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Cortineria,Kra 5 No. 3-30,3102715709,3014566528,Otro,Recubrimiento de ventanas y ventaneria,SI,Contacto@lacortineria.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Ferchis J & B,Vereda la Moya sector la regadera,3102416567,0,Tienda,No Responde,NO,ginatibaquicha70@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La fogata campestre,"Km 1.5via Cota,Chia el salvio",3204922728,3142693004,Restaurante,No Responde,NO,No tengo,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Galeria,Cra 5 No 13a - 82,3104854325,+13104854325,Cárnicos,No Responde,SI,milojas1986@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,6,Sí,Acepto,No responde,Emprendedor
La granja de la 5,CRA 5 # 06 07,3204373166,3112528217,Otro,Tienda de mascotas y servicios veterinarios,SI,Lagranjadela5cota@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La isabelita,Kilometro 1.5 via cota chia finca el salvio,3116348938,3132168533,Restaurante,No Responde,SI,alejandragarciag7power@gmail.com,1 a 5,No,No,Arrendado,Entre 1.000.000 y 3.000.000,3,No,Acepto,No,Emprendedor
la llama al rojo de cota j.v,carrera 5 # 7-61,3213956945,0,Expendido a la mesa de comidas preparadas,No Responde,SI,lcoy713@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,1,No,Acepto,No,Comerciante
La Mía Casa Pizza y Pasta,Vereda Cetime,3157916991,0,Restaurante,No Responde,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Palma,Calle 11 # 5-16,+573174046088,0,Tienda,No Responde,NO,jhonj062@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La parrilla de Lolita,Km 1.5  via cota Chia el salvio,3203922728,3142693004,Alimentos y bebidas,No Responde,SI,adrianasanchezpedraza@gmail.com,6 a 10,Sí,Sí,Arrendado,Entre 3.000.000 y 5.000.000,1,Sí,Acepto,No,Comerciante
La plazoleta,Parque Portos sabana 80,3188270127,3174013997,Restaurante,No Responde,SI,Gerencia@serviciosintegralesenalimentos.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La Provincia,Km 1 vía Cota-Siberiq,3134522330,0,Restaurante,No Responde,SI,Gerencia@restaurantelaprovincia.co,11 a 20,Sí,Sí,Arrendado,Mayor a 5.000.000,7,Sí,Acepto,No,Micro empresario
LA RUTA DE LA HUERTA SAS,"Finca El Carmen, vereda Santa Cruz.",3158763042,0,Otro,"Hortalizas orgánicas, aromaticas para exportación",SI,larutadelahuerta@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
La tienda de luchis,Cra 2b # 12-96 esquina,3204427878,3173420866,Tienda,No Responde,NO,Caterinemoralesbejarano@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
LABORATORIOS BIOPRONAT SAS,Terminal terrestre de carga cota,3162666866,7522160,Otro,PRODUCTOS NATURALES,SI,Info@laboratoriosbiopronat.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Latinoamericana suministros y carga sas,Terminal terrestre de carga local A25,3143813887,0,Otro,Tapabocas,SI,Gerencia@latinoamericana.com.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
LAU ANTONY,CALLE11#3-02,3123967953,3224370683,Servicio al publico,No Responde,NO,hernandezlauracamila44@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,4,No,Acepto,No,Comerciante
LAVACARS,CRA 6 N° 10 - 12,3108581562,3124280392,SERVICIO DE LAVADERO DE VEHICULOS,No Responde,SI,metro3r@gmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,10,Sí,Acepto,No,Comerciante
Lavandería WEB Center Laundry,Cra 5 #7-80 local 104 Terracota Centro Comercial,3126831071,0,Otro,Lavanderia,SI,fase03@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Le Jardin Gourmet,Calle 8 #7 99,3175865697,8767054,Comercialización alimentos orgánicos y de agricultura limpia,No Responde,SI,lejardingourmet.ventas@gmail.com,1 a 5,No,No,Arrendado,Menor a 1.000.000,1,No,Acepto,No,Emprendedor
Lenceria tys,Carrera 5 # 15 67,3222792442,3222792442,Otro,Lenceria para el hogar,SI,Juanis_813@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Leonardi Ravioli,Vereda la moya,3202824075,8640501,Otro,Venta de ravioli y salsa por libra,SI,No tiene,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Let’s Play,Km 1.5 Av Variante de Cota Conjunto Palo de Agua Farallones 57,3232216261,0,Otro,Fabrica de juguetes para mascotas,NO,letsplaynv@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Level Store,Cra 5 #13-21,3228055478,3115067462,Venta de prendas de vestir y accesorios al pormenor y al detal,No Responde,SI,disihe@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,6,Sí,Acepto,No,Comerciante
Level Up,Cra7 8 85,3155732826,+13155732826,Otro,Inversiones,SI,pilyexito2009@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
LIBRERÍA   NUESTRA SEÑORA DEL ROSARIO,Carrera 5 # 12-01 Cota,3204257442,3193954670,Compra y Venta de libros y articulos religiosos al por menor.,No Responde,NO,soniayolanda@yahoo.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,15,Sí,Acepto,No,Comerciante
Licorera M&M,Calle 11 # 4-81,3202483944,3219404427,Venta de licor,No Responde,SI,MaríaGutierrezsara1@gmail.com,1 a 5,No,Sí,Arrendado,Entre 1.000.000 y 3.000.000,6,Sí,Acepto,No,Comerciante
Lidia Polania,Carrera 3 calle 17 casa 8 B cota,3016319448,0,Otro,Vurtual.  Productos de AMWAY,SI,penapilania@yahoo.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
LILIART,Cra. 5 No. 7-80 Local 120,3003317905,3003013913,Venta de materiales para arte,No Responde,NO,Liliartes20@gmail.com,1 a 5,No,Sí,Propio,No responde,1,No,Acepto,No,Comerciante
Limpieza en casa,Cota,3204301862,3202086625,Otro,Todo lo relacionado de limpieza a vapor colchones alfombras carros muebles etc,SI,Mesagonzalezmanuelantonio3@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
LMDental,Calle 13 #  3-06,3.1834E+12,3115757492,Otro,Insumos Dentales,NO,matallanamarthamercedes@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Logistel,Calle 13 N 4-43,3125866149,3112363863,Tecnología,No Responde,SI,logistel@outlook.com,1,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,14,Sí,Acepto,No,Comerciante
LONDONFOOD. SAS.,Cra 5 # 7-80 local 119,3193801712,3115565255,Restaurante,No Responde,NO,londonfooddc@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Los Ángeles del Cabello,Calle 10 N 3 A 36,3144415750,3108527955,Otro,Peluquería y spa,SI,angelo.casta@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Los lukas y sus arepas,Calle 11 carrera1,3125322529,8640771,Restaurante,No Responde,SI,natalia.balsero@mail.escuelaing.edu.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
LTW Abogados,Cra 5 calle 17,3044347186,3115800699,Otro,"Asesorías Legales en Derecho Urbano, Comercial, Insolvencia, Laboral y Financiero",SI,Info.legalteamworkers@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Lubricantes y Montallantas Rivera,Calle 11 # 1-64,3204711336,3219799342,Cambio de aceite y montallantas,No Responde,SI,harol1780@hotmail.com,1 a 5,Sí,Sí,Arrendado,Entre 1.000.000 y 3.000.000,5,No,Acepto,No,Comerciante
Lunaria Natural,Mall meridiano cota local 18,3156052985,0,Venta de jabones naturales y cosmetica natural,No Responde,SI,Inverparra.manrique@gmail.com,1 a 5,Sí,Sí,Arrendado,No responde,4,Sí,Acepto,No,Emprendedor
M L DENTAL,Calle  3 # 3 _ 06,3183398781,3115757492,Venta de los insumos odontologicos,No Responde,NO,Matallana Martha mercedes@gmail.com,1 a 5,No,Sí,Arrendado,Menor a 1.000.000,2,No,Acepto,No,Emprendedor
M3 Design,Aut.Medellin KM 2.5  CIEM OIKOS OCCIDENTE Bodega A02,3209351204,0,Otro,Mantenimiento hogar e Impresión digital,SI,Comercial@m3design.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Mader solda,Vereda la moya Entrada San Isidoro,3185732950,0,Otro,Ebanisteria y hornamentacion,SI,madersolda@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
